TensorFlow version: 2.2.0
Eager execution: True
Glow Bijector 2 Blocks: K = 16 
 ShiftAndLogScaleResNet 
 n_filters = 64 
Model Saved at ./tf_ckpts/ckpt-31
Epoch 086: Loss: -5245.176
Model Saved at ./tf_ckpts/ckpt-32
Epoch 088: Loss: -4284.445
Epoch 090: Loss: -4762.205
Epoch 092: Loss: -4974.302
Epoch 094: Loss: -5061.450
Epoch 096: Loss: -5171.183
Epoch 098: Loss: -5141.436
Epoch 100: Loss: -5362.828
Model Saved at ./tf_ckpts/ckpt-33
Epoch 102: Loss: -5361.211
Epoch 104: Loss: -5398.987
Model Saved at ./tf_ckpts/ckpt-34
Epoch 106: Loss: -5344.540
Epoch 108: Loss: 254.397
Epoch 110: Loss: -3257.350
Epoch 112: Loss: -3795.595
Epoch 114: Loss: -4089.053
Epoch 116: Loss: -4267.782
Epoch 118: Loss: -4406.319
Epoch 120: Loss: -4572.371
Epoch 122: Loss: -4653.319
Epoch 124: Loss: -4723.170
Epoch 126: Loss: -4797.902
Epoch 128: Loss: -4873.051
Epoch 130: Loss: -4897.856
Epoch 132: Loss: -4939.184
Epoch 134: Loss: -4960.282
Epoch 136: Loss: -5008.480
Epoch 138: Loss: -5046.736
Epoch 140: Loss: -5115.293
Epoch 142: Loss: -5140.925
Epoch 144: Loss: -5219.761
Epoch 146: Loss: -5315.340
Epoch 148: Loss: -5346.073
Epoch 150: Loss: -5413.577
Model Saved at ./tf_ckpts/ckpt-35
Epoch 152: Loss: -5411.830
Epoch 154: Loss: -5551.749
Model Saved at ./tf_ckpts/ckpt-36
Epoch 156: Loss: -5650.153
Model Saved at ./tf_ckpts/ckpt-37
Epoch 158: Loss: -5541.578
Epoch 160: Loss: -5764.698
Model Saved at ./tf_ckpts/ckpt-38
Epoch 162: Loss: -5728.969
Epoch 164: Loss: -5819.250
Model Saved at ./tf_ckpts/ckpt-39
Epoch 166: Loss: -5809.330
Epoch 168: Loss: -5876.710
Model Saved at ./tf_ckpts/ckpt-40
Epoch 170: Loss: -5870.238
Epoch 172: Loss: -6004.347
Model Saved at ./tf_ckpts/ckpt-41
Epoch 174: Loss: -6049.720
Model Saved at ./tf_ckpts/ckpt-42
Epoch 176: Loss: -5991.609
Epoch 178: Loss: -5973.255
Epoch 180: Loss: -5994.116
Epoch 182: Loss: -6037.544
Epoch 184: Loss: -5934.178
Epoch 186: Loss: -6202.091
Model Saved at ./tf_ckpts/ckpt-43
Epoch 188: Loss: -6246.584
Model Saved at ./tf_ckpts/ckpt-44
Epoch 190: Loss: -6236.485
Epoch 192: Loss: -6240.204
Epoch 194: Loss: -5925.083
Epoch 196: Loss: -6256.704
Model Saved at ./tf_ckpts/ckpt-45
Epoch 198: Loss: -6342.035
Model Saved at ./tf_ckpts/ckpt-46
Model Saved at ./tf_ckpts/ckpt-46
Training time:  7284.98  seconds
loss history saved
9 samples saved
